,episode,locations
21,GAG353,"[('Geschehens', 10.5677982, 47.9952098), ('Andalusien', -4.5811614, 37.3399964), ('Cordoba', -4.7760138, 37.8845813)]"
22,GAG352,"[('Europa', 10.0, 51.0)]"
23,GAG351,"[('Frankreich', 1.8883335, 46.603354)]"
24,GAG350,"[('Deutschlands', 13.667225793245475, 54.559670350000005), ('Österreichs', 4.3858447, 50.843417), ('Tiroler', 12.3136986, 47.4451289), ('Bauernjörg', 10.1638388, 47.984728)]"
25,GAG349,"[('Geschehens', 10.5677982, 47.9952098), ('Sonnenkönig', 9.101948875586439, 47.28568025)]"
26,GAG348,"[('Bremerhaven', 8.5851945, 53.5505392), ('Mosel', 6.538035170357949, 49.0207259), ('Mosel', 6.538035170357949, 49.0207259), ('Deutschland', 10.4478313, 51.1638175)]"
27,GAG347,"[('Geschehens', 10.5677982, 47.9952098), ('Adrianopel', 26.5470763, 41.67785765), ('Thrakien', 25.09174778163463, 41.1141064), ('Edirne', 26.5587225, 41.6759327)]"
28,GAG346,"[('East River', -73.92771, 40.7792911), ('Manhattan', -73.9598939, 40.7896239), ('Brooklyn', -73.9497211, 40.6526006), ('New York', -74.0060152, 40.7127281), ('Brooklyn Bridge', -73.99575931949556, 40.705216050000004), ('USA', -100.445882, 39.7837304)]"
29,GAG345,"[('Großbritannien', -1.9180234948012402, 54.31536155), ('Ten Minutes.', -106.5211554, 31.8992104)]"
30,FGAG01,"[('Hamburg', 10.000654, 53.550341), ('Stockholmer', 18.070352088732243, 59.3268954), ('Mittelmeer', 19.9999957, 35.0000035), ('Europa', 10.0, 51.0), ('Afrika', 17.7578122, 11.5024338)]"
31,GAG344,"[('New York', -74.0060152, 40.7127281)]"
32,GAG342,"[('Stockholm', 18.0710935, 59.3251172), ('Stockholmer', 18.070352088732243, 59.3268954)]"
33,GAG341,"[('Frankreich', 1.8883335, 46.603354), ('Frankreich', 1.8883335, 46.603354), ('Paris', 2.3200410217200766, 48.8588897)]"
34,GAG338,"[('New Lanark', -3.7817483, 55.6637076), ('New Harmony', -87.9354109, 38.129656), ('den USA', -104.68536732610298, 39.8606676)]"
35,GAG337,"[('Wisconsin', -89.6884637, 44.4308975)]"
36,GAG336,"[('British Museum', -0.12801772178494725, 51.51929365), ('London', -0.1276474, 51.5073219)]"
37,GAG335,"[('Rom', 12.4829321, 41.8933203)]"
38,GAG333,"[('Pharos', 75.563151, 32.9130929)]"
39,GAG332,"[('Schotte', 7.393083488669008, 51.6516199), ('Honduras.', -86.0755145, 15.2572432), ('St. Joseph', -94.8466322, 39.7686055)]"
40,GAG331,"[('Ost-Blöcke', 123.2642926, 10.1031327)]"
41,GAG330,"[('Europa', 10.0, 51.0)]"
42,GAG328,"[('Broadway', -73.8810923, 41.0014175)]"
43,GAG327,"[('Toronto', -79.3839347, 43.6534817)]"
44,GAG325,"[('London', -0.1276474, 51.5073219), ('Tower Bridge', -0.0753662, 51.5055166)]"
